City,Locality,restaurants,avg_rating,avg_cost,total_votes,votes_per_restaurant,demand_z,quality_z,opportunity_score
New Delhi,"V3S Mall, Laxmi Nagar",26,2.819230769230769,630.7692307692307,2265,87.11538461538461,0.5226484946480247,-1.6162199229265424,2.139
Noida,"Supertech Shopprix Mall, Sector 61",19,2.8117647058823527,713.1578947368421,1396,73.47368421052632,0.40183317214608383,-1.6465208630688497,2.048
Noida,Sector 50,35,2.951724137931034,607.1428571428571,3827,109.34285714285714,0.684221749986627,-1.0784969694920525,1.763
Noida,Sector 12,22,2.92,345.45454545454544,1356,61.63636363636363,0.27749935052270674,-1.2072490520361256,1.485
Ghaziabad,"Shipra Mall, Indirapuram",17,3.0294117647058822,729.4117647058823,1938,114.0,0.7139151710942688,-0.7632025474052206,1.477
Noida,"Spice World Mall, Sector 25",16,3.05,662.5,1969,123.0625,0.7683989670132777,-0.6796454094370399,1.448
Noida,"The Great India Place, Sector 38",37,3.1580645161290324,743.2432432432432,6380,172.43243243243242,1.0090240134489543,-0.2410666990879223,1.25
Gurgaon,"DLF Mega Mall, DLF Phase 1",15,3.007142857142857,696.6666666666666,1036,69.06666666666666,0.35801916877668527,-0.8535806762279469,1.212
New Delhi,Delhi University-GTB Nagar,65,3.2962962962962963,484.61538461538464,19490,299.84615384615387,1.404659451822008,0.3199455373674974,1.085
Noida,Sector 53,19,2.933333333333333,428.94736842105266,682,35.89473684210526,-0.10266880051346788,-1.1531358579233995,1.05
New Delhi,"Community Centre, New Friends Colony",18,3.1,666.6666666666666,1517,84.27777777777777,0.499136923049367,-0.47672093151431333,0.976
New Delhi,Rajinder Nagar,81,3.0564102564102567,439.75308641975306,5171,63.839506172839506,0.3023295659807629,-0.6536294507289965,0.956
New Delhi,Paharganj,64,2.9983333333333335,551.5625,2866,44.78125,0.05233971874384975,-0.8893340366238548,0.942
Gurgaon,"Vyapar Kendra, Sushant Lok",17,3.1375,376.47058823529414,1498,88.11764705882354,0.5307723849470988,-0.32452757307226887,0.855
New Delhi,Lodhi Colony,31,3.29,838.7096774193549,6504,209.80645161290323,1.149197665923399,0.2943920845920433,0.855
Gurgaon,"MGF Metropolitan Mall, MG Road",24,3.2416666666666667,835.4166666666666,3653,152.20833333333334,0.919965116342642,0.09823175593340865,0.822
Noida,Sector 18,75,3.3706666666666667,858.0,22122,294.96,1.3928978579660858,0.6217769089740404,0.771
New Delhi,"Basant Lok Market, Vasant Vihar",15,3.2199999999999998,900.0,1875,125.0,0.7795297179107069,0.010297815500226468,0.769
Gurgaon,MG Road,24,3.1750000000000003,883.3333333333334,2301,95.875,0.5907228313100492,-0.17233421463022439,0.763
New Delhi,Lodhi Road,19,3.2857142857142856,628.9473684210526,3316,174.52631578947367,1.0176439930309893,0.2769985579129519,0.741
New Delhi,Barakhamba Road,16,3.2083333333333335,440.625,1786,111.625,0.6989258471369915,-0.03705122934840787,0.736
New Delhi,Laxmi Nagar,58,3.041509433962264,391.37931034482756,2452,42.275862068965516,0.01191531581739394,-0.7141042830465596,0.726
Noida,Sector 110,53,3.0166666666666666,543.3962264150944,1813,34.20754716981132,-0.13629027859586845,-0.8149283947188564,0.679
New Delhi,Chanakyapuri,32,3.085714285714286,740.625,1623,50.71875,0.13993069399910343,-0.534699353777949,0.675
Noida,Sector 62,76,3.0326530612244897,447.36842105263156,2559,33.671052631578945,-0.147319688421262,-0.7500477793285972,0.603
New Delhi,Nehru Place,32,3.196,625.0,2721,85.03125,0.5054554003044611,-0.08710593390268005,0.593
New Delhi,Chittaranjan Park,46,3.1305555555555555,441.30434782608694,2617,56.891304347826086,0.22091425613089805,-0.35271152833931485,0.574
New Delhi,R K Puram,38,3.175,393.42105263157896,2782,73.21052631578948,0.3992905920911014,-0.1723342146302262,0.572
New Delhi,Safdarjung,80,3.247826086956522,580.0,8837,110.4625,0.6914733493406258,0.12322969886591868,0.568
New Delhi,"Pacific Mall, Tagore Garden",27,3.1956521739130435,587.0370370370371,2182,80.81481481481481,0.4693602981526129,-0.08851758244475197,0.558
New Delhi,Mayur Vihar Phase 2,29,3.1346153846153846,346.55172413793105,1651,56.93103448275862,0.2214070330486439,-0.3362347544908885,0.558
New Delhi,Kalkaji,73,3.117142857142857,438.35616438356163,3648,49.97260273972603,0.1294926061674542,-0.4071468247979513,0.537
New Delhi,IP Extension,47,3.060714285714286,400.0,1670,35.53191489361702,-0.10976729078409338,-0.6361615927393114,0.526
New Delhi,Saket,36,3.25625,598.6111111111111,3922,108.94444444444444,0.6816235844802557,0.15741806199420383,0.524
New Delhi,Mayur Vihar Phase 1,84,2.9859649122807017,372.6190476190476,1892,22.523809523809526,-0.4259340528126967,-0.9395311443205299,0.514
New Delhi,Yusuf Sarai,25,3.075,372.0,931,37.24,-0.07694497684641952,-0.5781831704756757,0.501
